[Recepcionist 1]  Order { id = 3, product = PAN}
[Recepcionist 1]  Order { id = 7, product = PAN}
[Recepcionist 1]  Order { id = 11, product = PAN}
[Recepcionist 1]  Order { id = 15, product = PAN}
[Recepcionist 1]  Order { id = 21, product = PIZZA}
[Recepcionist 2]  Order { id = 27, product = PIZZA}
[Recepcionist 2]  Order { id = 31, product = PAN}
[Recepcionist 2]  Order { id = 35, product = PAN}
[Recepcionist 2]  Order { id = 41, product = PIZZA}
[Recepcionist 2]  Order { id = 44, product = PIZZA}
[Recepcionist 3]  Order { id = 53, product = PIZZA}
[Recepcionist 3]  Order { id = 59, product = PIZZA}
[Recepcionist 3]  Order { id = 65, product = PIZZA}
